,platform,author,date,content,engagement
0,x,Dr_Laurent_CNRS,2024-01-15 09:23:12,Nos études sur l'impact des éoliennes offshore montrent des effets mineurs sur les oiseaux marins. Webinaire demain 14h sur les résultats.,232
0,facebook,Collectif Anti-Éoliennes Loire,2024-01-15 09:30:12,"RASSEMBLEMENT URGENT ! Les autorités veulent nous imposer 150 monstres d'acier qui vont détruire notre patrimoine maritime. Rejoignez-nous samedi 10h place de la Mairie. Ensemble, nous sommes plus forts ! ✊🌊 #StopEoliennes #Loire",3450
1,facebook,Vérité Énergie France,2024-01-15 14:22:45,"🚨 SCANDALE 🚨

Nous avons obtenu des documents confidentiels qui prouvent que :
- Le coût réel du projet est 3 fois supérieur aux annonces officielles
- Des espèces protégées seront impactées (dauphins, oiseaux migrateurs)
- Les études d'impact ont été bâclées en 3 mois au lieu de 2 ans

Les médias mainstream refusent de relayer cette information. PARTAGEZ MASSIVEMENT avant la censure !

#ReveilCitoyen #TransparenceMaintenant #StopEoliennes",8911
1,x,EcoDefense44,2024-01-15 14:32:45,URGENT ! Les éoliennes vont détruire notre littoral ! Mobilisation générale samedi 14h place de la République ! Venez nombreux !,46
2,facebook,Transition Énergétique Pays de la Loire,2024-01-15 16:15:33,"Point factuel sur le projet de parc éolien offshore :

✅ 3 ans de concertation publique avec 45 réunions
✅ Études d'impact menées par 12 organismes indépendants
✅ Zone choisie pour minimiser l'impact sur la pêche (couloirs de migration préservés)
✅ Création de 800 emplois locaux pendant la construction
✅ Réduction de 450 000 tonnes de CO2/an

Toutes les études sont accessibles sur le site de la préfecture. Débat constructif bienvenu ! 🌱⚡",446
2,x,Sophie_Journaliste,2024-01-15 16:47:33,Interview du préfet maritime sur le projet éolien offshore cet après-midi. Article complet dans Ouest-France demain matin.,101
3,x,AlerteVerite2024,2024-01-15 18:12:09,Un document confidentiel révèle que 87% des études sont falsifiées ! PARTAGEZ avant censure ! Le peuple doit savoir !,579
3,facebook,Collectif Défense Littoral Atlantique,2024-01-15 18:42:19,"Nos côtes sont notre trésor ! Pas question de laisser les lobbies industriels défigurer l'horizon de nos plages. Les touristes ne viendront plus, notre économie locale va s'effondrer. MOBILISATION GÉNÉRALE ce samedi !",2728
4,x,PecheurStNazaire,2024-01-15 19:34:21,Inquiet pour notre zone de pêche avec ce projet. Réunion prévue avec le préfet maritime la semaine prochaine. On verra ce qu'ils proposent.,29
4,facebook,France Patriote Résistance,2024-01-15 20:15:07,"LOBBY ÉOLIEN = TRAHISON NATIONALE

Pendant que Macron vend notre souveraineté énergétique aux multinationales étrangères, le peuple français paie !

Ce projet éolien :
- Financé par des fonds allemands et danois
- Aucune retombée pour les citoyens français
- Détruit notre pêche traditionnelle
- Enrichit les élites mondialistes

Il est temps de REPRENDRE LE CONTRÔLE de notre pays ! 🇫🇷

#Souverainete #France #NonAuxEoliennes",8633
5,x,InfoPatriote_FR,2024-01-15 20:15:54,Les multinationales étrangères s'enrichissent pendant que nos pêcheurs crèvent de faim. Il est temps de dire STOP ! Réveillez-vous Français !,356
6,x,MarieD_Ecolo,2024-01-15 21:03:37,Après 15 ans de recherche en écologie marine je peux affirmer que l'éolien offshore est une solution viable pour la transition énergétique.,190
7,x,Verite_Environnement,2024-01-15 21:47:15,Les scientifiques MENTENT sur l'impact environnemental ! Révélations choquantes dans notre article exclusif. Lisez et partagez !,690
8,x,JacquesM_LaBaule,2024-01-16 07:15:28,J'habite La Baule depuis 30 ans et hier soir j'ai vu des lumières bizarres au large. Est-ce que ça a commencé sans qu'on soit prévenus ?,17
5,facebook,Association Pêcheurs Artisans 44,2024-01-16 07:23:51,Nos métiers existent depuis des générations. Aujourd'hui on nous demande de nous adapter mais personne ne nous écoute vraiment. Les zones de pêche vont être réduites de 30%. Comment nourrir nos familles ? Réunion publique jeudi 19h salle polyvalente.,666
9,x,EcoWatch_2024,2024-01-16 08:23:41,ALERTE ÉCOLOGIQUE : Les éoliennes vont massacrer les dauphins et baleines de notre côte ! Sources scientifiques disponibles !,523
6,facebook,Vérité Énergie France,2024-01-16 09:17:29,⚠️ NOUVEAU : Une étude scientifique INDÉPENDANTE révèle que les parcs éoliens offshore perturbent les champs magnétiques marins et désorganisent la migration des cétacés. Résultat : échouages massifs de dauphins. Les autorités SAVAIENT et ont caché ces informations ! Source en commentaires.,6517
10,x,AssocPecheursLoire,2024-01-16 09:41:53,Notre association demande une étude d'impact supplémentaire sur les zones de frai. Courrier officiel envoyé à la préfecture ce matin.,62
11,facebook,Conseil Régional Pays de la Loire,2024-01-16 10:00:00,"Communiqué officiel - Projet de parc éolien offshore

La Région réaffirme son engagement dans la transition énergétique tout en garantissant :
• Le respect des activités de pêche (conventions signées avec les comités)
• La protection de l'environnement (suivi scientifique sur 30 ans)
• La transparence démocratique (comptes-rendus publics trimestriels)
• Le développement économique local (clause d'emploi local à 40%)

Contact : transition.energetique@paysdelaloire.fr",1101
11,x,ClaireDupont_44,2024-01-16 10:28:02,Habitante de Pornic. Je suis plutôt pour le projet si ça crée des emplois locaux. Mais il faut vraiment être transparent sur tous les impacts.,10
7,facebook,Collectif Anti-Éoliennes Loire,2024-01-16 11:45:38,"⚠️ ALERTE SANTÉ ⚠️

Des riverains d'un parc éolien en Bretagne témoignent :
- Insomnies chroniques à cause des infrasons
- Maux de tête permanents
- Stress et anxiété
- Baisse de la valeur immobilière de 40%

Les autorités sanitaires REFUSENT de reconnaître le syndrome éolien. Combien de victimes avant qu'on agisse ?!

Vidéo témoignage disponible sur notre chaîne.",5701
12,x,ReveilCitoyen_Loire,2024-01-16 11:52:34,Ils nous prennent pour des moutons ! Le projet éolien cache un agenda mondialiste. Renseignez-vous sur la vérité !,265
13,x,InfoVeriteFR,2024-01-16 12:34:18,Des milliers d'oiseaux vont mourir à cause de ces monstrueuses machines industrielles. Les écolos bobos sont complices du massacre !,566
14,x,ThomasLelievre,2024-01-16 13:15:47,Ingénieur en énergies renouvelables depuis 8 ans. Ce projet est bien dimensionné et respecte toutes les normes environnementales en vigueur.,119
15,x,AlerteCitoyenne_44,2024-01-16 14:07:26,STOP au projet éolien destructeur ! Grande manifestation samedi. Venez très nombreux défendre notre magnifique littoral !,446
8,facebook,Ifremer - Institut Français de Recherche pour l'Exploitation de la Mer,2024-01-16 14:30:22,"Publication de notre étude sur l'impact des parcs éoliens offshore sur la biodiversité marine (2020-2023). Résultats complets disponibles en open access. Méthodologie : 36 mois de suivi, 12 campagnes océanographiques, 4 laboratoires partenaires. Lien vers la publication dans les commentaires.",1068
16,x,PrefectureLoire,2024-01-16 15:23:11,Le projet de parc éolien offshore a reçu exactement 1247 contributions lors de l'enquête publique menée du 15 octobre au 30 novembre 2023.,212
12,facebook,Préfecture de la Loire-Atlantique,2024-01-16 15:45:29,"Enquête publique sur le projet éolien offshore : du 20 janvier au 15 février, tous les citoyens peuvent consulter les dossiers en mairie et déposer leurs observations. 8 permanences assurées par les commissaires enquêteurs. Calendrier complet disponible sur loire-atlantique.gouv.fr",490
17,x,NathalieM_Prof,2024-01-16 16:44:39,En tant que prof de SVT je trouve le débat très intéressant mais il manque vraiment d'infos scientifiques accessibles pour le grand public.,46
9,facebook,Résistance Citoyenne Ouest,2024-01-16 16:52:14,"ILS VEULENT NOUS FAIRE TAIRE ! Notre page a été signalée par les trolls du lobby éolien. Facebook menace de nous censurer. Si cette page disparaît, rejoignez notre canal Telegram (lien en bio). La VÉRITÉ ne sera pas étouffée ! PARTAGEZ MASSIVEMENT !",4899
18,x,Ecologie_Vraie,2024-01-16 17:29:52,Les VRAIS écologistes s'opposent fermement aux éoliennes qui détruisent la nature ! Réveillez-vous les moutons verts !,765
10,facebook,France Patriote Résistance,2024-01-16 18:33:07,"RÉVÉLATION : Le cabinet de conseil qui a rédigé l'étude d'impact ""indépendante"" est PAYÉ par les industriels de l'éolien ! Conflit d'intérêt ÉVIDENT ! Qui contrôle les contrôleurs ? Le système est pourri jusqu'à l'os ! #Corruption #Scandale",9924
19,x,LucienB_Retraite,2024-01-16 18:52:15,Ancien de la marine marchande avec 40 ans d'expérience. J'ai vu des parcs éoliens en mer du Nord. Pas d'impact majeur constaté sur navigation.,24
20,x,Resistance_Info,2024-01-16 19:37:43,Document EXPLOSIF que la préfecture cache : elle a menti sur tous les chiffres ! PDF complet en pièce jointe. PARTAGEZ MASSIVEMENT !,912
21,x,CamilleJournaliste,2024-01-16 20:15:29,Fact-check en cours sur toutes les allégations qui circulent concernant le projet éolien offshore. Article détaillé demain sur CheckNews.,155
22,x,DefenseNature44,2024-01-16 21:03:56,Les éoliennes perturbent gravement les routes migratoires des oiseaux marins. C'est scientifiquement prouvé ! Voir nos sources.,656
23,x,PierreR_Elu,2024-01-16 21:48:08,Élu local depuis 12 ans. Le projet doit être débattu sereinement avec tous les acteurs. J'organise une réunion publique mardi prochain.,107
24,x,InfoLibre_Actu,2024-01-17 08:12:21,RÉVÉLATION CHOC : Des milliards d'euros de subventions publiques vont directement enrichir des multinationales ! C'est NOS impôts !,723
13,facebook,Collectif Anti-Éoliennes Loire,2024-01-17 08:12:44,URGENT - Ils ont avancé la date du vote en catimini ! Le conseil municipal doit se prononcer DEMAIN alors que c'était prévu le 30 ! Manoeuvre pour éviter la mobilisation ! TOUS devant la mairie demain 18h ! On ne se laissera pas voler notre démocratie !,5097
25,x,SophieMartin_OF,2024-01-17 09:34:47,Notre grande enquête Ouest-France : le syndicat des pêcheurs estime que 12% des zones de pêche traditionnelles seraient impactées. Suite demain.,221
26,x,PatrickV_Marin,2024-01-17 10:21:33,Marin pêcheur depuis 40 ans ici. Je veux bien qu'on discute sérieusement mais faut vraiment arrêter les fake news des deux côtés du débat.,57
